"JOB_ID";"Agency";"Posting_Type";"Number_Of_Positions";"Civil_Service_Title";"Job_Category";"Full_Time_Part_Time_Indicator";"Career_Level";"Work_Location";"Posting_Date";"Salary_Brackets"
597711;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ASSISTANT CIVIL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"59-17 Junction Blvd Corona Ny";"8/11/2023";"$ 85 000 -$ 100 000"
657437;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"CITY RESEARCH SCIENTIST";"Health";"Full-Time";"Experienced (non-manager)";"30-30 47TH AVE";"9/11/2024";"$ 120 000 - $ 140 000"
549403;"DEPT OF ENVIRONMENT PROTECTION";"External";6;"CIVIL ENGINEERING INTERN";"Public Safety, Inspections, & Enforcement";"Full-Time";"Entry-Level";"96-05 Horace Harding Expway";"9/10/2022";"$ 55 000 - $ 65 000"
704837;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"SUMMER GRADUATE INTERN";"Technology, Data & Innovation";"Full-Time";"Student";"96-05 Horace Harding Expway";"3/11/2025";"$ 35 000 - $ 45 000"
694561;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"CLERICAL ASSOCIATE";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"470 Vanderbilt Ave";"1/22/2025";"$ 65 000 - $ 75 000"
542219;"DEPT OF ENVIRONMENT PROTECTION";"External";2;"ENVIRONMENTAL ENGINEER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"7/25/2022";"$ 100 000 - $ 120 000"
713882;"NYC HOUSING AUTHORITY";"External";1;"CUSTOMER INFORMATION REP";"Technology, Data & Innovation";"Full-Time";"Experienced (non-manager)";"IT Customer Service Excellence";"5/16/2025";"$ 55 000 - $ 65 000"
687135;"DEPT OF ENVIRONMENT PROTECTION";"Internal";1;"ADMINISTRATIVE PROJECT MANAGER";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"96-05 Horace Harding Expway";"12/31/2024";"$ 120 000 - $ 140 000"
649730;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"INSTITUTIONAL AIDE";"Health";"Full-Time";"Experienced (non-manager)";"421 East 26th Street NY NY";"5/23/2025";"$ 45 000 - $ 55 000"
713524;"DEPARTMENT OF TRANSPORTATION";"External";1;"TRANSPORTATION SPECIALIST";"Engineering, Architecture, and Planning";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"5/8/2025";"$ 85 000 -$ 100 000"
701710;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"HEALTH SERVICES MANAGER";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"2/11/2025";"More than $ 140 000"
709788;"HRA/DEPT OF SOCIAL SERVICES";"Internal";1;"MANAGEMENT AUDITOR";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"4/3/2025";"$ 75 000 - $ 85 000"
691713;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"CONSULTANT (EARLY CHILDHOOD ED";"Health";"Full-Time";"Experienced (non-manager)";"NYC - All Boroughs";"12/11/2024";"$ 65 000 - $ 75 000"
703150;"DEPT OF ENVIRONMENT PROTECTION";"External";3;"SUMMER COLLEGE INTERN";"Engineering, Architecture, and Planning";"Full-Time";"Student";"96-05 Horace Harding Expway";"2/18/2025";"$ 35 000 - $ 45 000"
714564;"ADMIN FOR CHILDREN'S SVCS";"Internal";1;"ADM MANAGER-NON-MGRL FRM M1/M2";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"1274 Bedford Ave., Brooklyn";"5/21/2025";"$ 100 000 - $ 120 000"
643368;"DEPT OF YOUTH & COMM DEV SRVS";"Internal";1;"CITY RESEARCH SCIENTIST";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"123 William Street, NY, NY";"3/18/2025";"$ 100 000 - $ 120 000"
623549;"DEPARTMENT OF TRANSPORTATION";"External";1;"CITY PLANNER";"Constituent Services and Community Programs";"Full-Time";"Experienced (non-manager)";"55 Water St Ny Ny";"1/19/2024";"$ 100 000 - $ 120 000"
703865;"DEPT OF ENVIRONMENT PROTECTION";"External";1;"ELECTRICAL ENGINEERING INTERN";"Engineering, Architecture, and Planning";"Full-Time";"Entry-Level";"199 River Road North";"3/18/2025";"$ 65 000 - $ 75 000"
641923;"DEPT OF HEALTH/MENTAL HYGIENE";"External";1;"COMMUNITY ASSOCIATE";"Constituent Services and Community Programs";"Full-Time";"Entry-Level";"42-09 28th Street";"7/12/2024";"$ 45 000 - $ 55 000"
692921;"DEPT OF HEALTH/MENTAL HYGIENE";"Internal";1;"PUBLIC HEALTH EMERGENCY PREPAR";"Health";"Full-Time";"Experienced (non-manager)";"42-09 28th Street";"12/11/2024";"$ 85 000 -$ 100 000"
695265;"DEPARTMENT OF CORRECTION";"External";1;"ASSOCIATE COMMISSIONER (DOC)";"Social Services";"Full-Time";"Manager";"75-20 Astoria Blvd";"12/24/2024";"More than $ 140 000"
597918;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"PRINCIPAL ADMINISTRATIVE ASSOC";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"8/10/2023";"$ 55 000 - $ 65 000"
714149;"NYC HOUSING AUTHORITY";"External";1;"RESIDENT BUILDING SUPERINTENDE";"Building Operations & Maintanence";"Full-Time";"Entry-Level";"Douglass Houses";"5/14/2025";"$ 100 000 - $ 120 000"
622171;"HRA/DEPT OF SOCIAL SERVICES";"External";1;"ASSOCIATE STAFF ANALYST";"Finace, Accounting, and Procurement";"Full-Time";"Experienced (non-manager)";"4 World Trade Center";"1/5/2024";"$ 75 000 - $ 85 000"
686431;"DEPT OF CITYWIDE ADMIN SVCS";"External";10;"SPECIAL EXAMINER (PHYSICAL TES";"Administration & Human Resources";"Full-Time";"Experienced (non-manager)";"1 Centre St., N.Y.";"5/6/2025";"$ 55 000 - $ 65 000"
